lon,lat,depth,pdf
-123.0,38.2,46.41304779050,1.47889902024084e-06
-122.9,38.2,50.27674484250,1.06293239199566e-06
-122.8,38.2,53.00573730470,7.19388380927589e-07
-122.7,38.2,55.70006179810,4.58506231759876e-07
-122.6,38.2,59.67330551150,2.75219100335616e-07
-122.5,38.2,62.57938766480,1.55567240233763e-07
-122.4,38.2,65.78197479250,8.28056081624192e-08
-122.3,38.2,71.05035400390,4.15094876217170e-08
-122.2,38.2,75.57475280760,1.95941654219563e-08
-122.1,38.2,83.16529846190,8.71089458248704e-09
-122.0,38.2,90.00304412840,3.64697706625192e-09
-121.9,38.2,98.13871002200,1.43770520732003e-09
-121.8,38.2,110.70532989500,5.33805217218030e-10
-125.2,38.3,8.88196086884,1.52215025687021e-09
-125.1,38.3,8.88196086884,4.09296352393057e-09
-125.0,38.3,8.88196086884,1.03667029663624e-08
-124.9,38.3,8.88196086884,2.47337602340769e-08
-124.8,38.3,8.88196086884,5.55714617104554e-08
-124.7,38.3,10.14181423190,1.17603437841402e-07
-124.6,38.3,11.43437862400,2.34378305645014e-07
-124.5,38.3,13.10266971590,4.39910519208172e-07
-124.4,38.3,14.43468093870,7.77697113585160e-07
-124.3,38.3,16.31011390690,1.29469700159964e-06
-124.2,38.3,17.68427658080,2.03013641144007e-06
-124.1,38.3,19.09505653380,2.99783322896744e-06
-124.0,38.3,21.27030372620,4.16926678706953e-06
-123.9,38.3,22.88247108460,5.46083789151038e-06
-123.8,38.3,24.62518882750,6.73613852748999e-06
-123.7,38.3,27.20420646670,7.82566787807487e-06
-123.6,38.3,29.27189826970,8.56249295710835e-06
-123.5,38.3,31.50145530700,8.82300473256752e-06
-123.4,38.3,34.66586303710,8.56249295710835e-06
-123.3,38.3,37.24055480960,7.82566105288675e-06
-123.2,38.3,40.84117507930,6.73629511680605e-06
-123.1,38.3,43.63131713870,5.46083223635450e-06
-123.0,38.3,46.41304779050,4.16926483701577e-06
-122.9,38.3,50.27674484250,2.99798494314912e-06
-122.8,38.3,53.00573730470,2.03013777647770e-06
-122.7,38.3,55.70006179810,1.29469727460716e-06
-122.6,38.3,59.67330551150,7.77697620599135e-07
-122.5,38.3,62.57938766480,4.39946868210056e-07
