lon,lat,depth,pdf
-122.7,42.2,85.68804168700,5.39661240328190e-04
-122.6,42.2,89.70518493650,4.73403694629029e-04
-122.5,42.2,93.16889190670,4.23255781831748e-04
-122.4,42.2,96.20339965820,3.86101748702810e-04
-122.3,42.2,99.02989959720,3.59105574956706e-04
-124.3,42.3,17.15949249270,2.64764781833920e-03
-124.2,42.3,19.07502365110,2.69184560561057e-03
-124.1,42.3,21.13108825680,2.69242536589406e-03
-124.0,42.3,23.37258529660,2.64667929832553e-03
-123.9,42.3,25.88088989260,2.55490024573102e-03
-123.8,42.3,28.76875305180,2.42068425876064e-03
-123.7,42.3,32.16028976440,2.25062960568076e-03
-123.6,42.3,36.15884399410,2.05386940892599e-03
-123.5,42.3,40.81200790410,1.84091823506858e-03
-123.4,42.3,46.08639144900,1.62273486815768e-03
-123.3,42.3,51.86228942870,1.40941854346059e-03
-123.2,42.3,57.95074462890,1.20938633965074e-03
-123.1,42.3,64.12635040280,1.02886128251141e-03
-123.0,42.3,70.16394805910,8.71508499528784e-04
-122.9,42.3,75.86813354490,7.38760781862762e-04
-122.8,42.3,81.09114837650,6.30067033200428e-04
-122.7,42.3,85.74192047120,5.43494953809317e-04
-122.6,42.3,89.79314422610,4.76298283479749e-04
-122.5,42.3,93.29207611080,4.25359945028638e-04
-122.4,42.3,96.37467193600,3.87563009407117e-04
-122.3,42.3,99.27699279790,3.60058364968433e-04
-124.3,42.4,17.24406433110,2.58212592566791e-03
-124.2,42.4,19.13157844540,2.62714187672485e-03
-124.1,42.4,21.15171241760,2.62984004886503e-03
-124.0,42.4,23.34656333920,2.58747264498628e-03
-123.9,42.4,25.79469680790,2.50019076198779e-03
-123.8,42.4,28.60738945010,2.37135695396348e-03
-123.7,42.4,31.91011428830,2.20727905353463e-03
-123.6,42.4,35.81147003170,2.01676317685651e-03
-123.5,42.4,40.36811065670,1.80999660647040e-03
-123.4,42.4,45.55794525150,1.59766222645020e-03
-123.3,42.4,51.27209854130,1.38963725590867e-03
-123.2,42.4,57.32896423340,1.19419462041137e-03
-123.1,42.4,63.50500488280,1.01749827722341e-03
-123.0,42.4,69.57119750980,8.63218612595603e-04
-122.9,42.4,75.32438659670,7.32847791732845e-04
-122.8,42.4,80.60832214360,6.25927181847473e-04
-122.7,42.4,85.32601928710,5.40633037811368e-04
-122.6,42.4,89.44941711430,4.74324413583235e-04
-122.5,42.4,93.03088378910,4.23981676518218e-04
-122.4,42.4,96.21670532230,3.86570297224479e-04
-122.3,42.4,99.25615692140,3.59305574663572e-04
-124.3,42.5,17.33599853520,2.45170374852454e-03
-124.2,42.5,19.18698120120,2.49608290762525e-03
-124.1,42.5,21.16057777400,2.50064442302087e-03
-124.0,42.5,23.29456138610,2.46268003092781e-03
-123.9,42.5,25.66205215450,2.38220565577418e-03
-123.8,42.5,28.36956787110,2.26227452889646e-03
-123.7,42.5,31.54111289980,2.10873026732004e-03
-123.6,42.5,35.28950881960,1.92980293027208e-03
-123.5,42.5,39.68235397340,1.73507957897192e-03
-123.4,42.5,44.71391296390,1.53464648694305e-03
-123.3,42.5,50.29349899290,1.33787832797422e-03
-123.2,42.5,56.25479125980,1.15266250833679e-03
-123.1,42.5,62.38264083860,9.84915601156985e-04
-123.0,42.5,68.44790649410,8.38201336050930e-04
-122.9,42.5,74.24029541020,7.14020155222768e-04
-122.8,42.5,79.59323883060,6.12012462865875e-04
-122.7,42.5,84.40087890620,5.30509091905355e-04
-122.6,42.5,88.63112640380,4.67049699683021e-04
-122.5,42.5,92.33850860600,4.18797284524197e-04
-122.4,42.5,95.67655944820,3.82885153102492e-04
-122.3,42.5,98.90416717530,3.56674553614679e-04
-124.3,42.6,17.43748092650,2.26129897250758e-03
-124.2,42.6,19.24497222900,2.30351944576194e-03
-124.1,42.6,21.16371345520,2.30951554844480e-03
-124.0,42.6,23.22561645510,2.27671307823704e-03
-123.9,42.6,25.49563407900,2.20501630340232e-03
-123.8,42.6,28.07206916810,2.09709015846633e-03
-123.7,42.6,31.07423973080,1.95817729846150e-03
-123.6,42.6,34.61752319340,1.79571387580709e-03
-123.5,42.6,38.78145217900,1.61841342277406e-03
-123.4,42.6,43.58072662350,1.43549377605117e-03
-123.3,42.6,48.94942855830,1.25555060862467e-03
-123.2,42.6,54.74416351320,1.08585471809645e-03
-123.1,42.6,60.76509475710,9.31893088369603e-04
